RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
;;;;;;;;B>A;A;ДС Чижовка - ДС Ангарская-4;1234567;142314;;68866,71280,15527,15528,15529,15709,15708,15706,15295,15296,15961,15962,15963,15338,15335,58356,15328,15329,68849,68909;;
23;;;;5 АП;15717,;;;A>B;A;ДС Малиновка-4 - Городской Вал;67;86497;;54638,14951,14952,14982,14983,15585,15586,15643,15644,15645,15647,15648,71807,73042,15214,15215,15216,15165,15166,14716,54642,15922,68958,15929,15930,15932,15597,14690;;d1-d5 - 07.07.2014<br>d6-d7 - 12.01.2013
;;;;;16258,;;;A>B;A;ДС  Малиновка-4 - Городской Вал;12345;133282;;54638,14951,14952,14982,14983,15585,15586,15643,15644,15645,15647,15648,71807,73042,15214,15215,15216,15165,15166,14716,54642,15922,68958,15929,15930,15932,15597,14690;;
;;;;;15717,;;;B>A;A;Городской Вал - ДС Малиновка-4;67;86498;;14690,73579,15122,15567,15568,15936,15937,15931,15934,15926,15924,14762,15129,15130,14903,14904,14905,71803,73043,15638,15639,15640,15641,15642,15577,15578,14980,14981,14949,14950,147112,54638;;
;;;;;16258,;;;B>A;A;Городской Вал - ДС  Малиновка-4;12345;133283;;14690,73579,15122,15567,15568,15936,15937,15931,15934,15926,15924,14762,15129,15130,14903,14904,14905,71803,73043,15638,15639,15640,15641,15642,15577,15578,14980,14981,14949,14950,147112,54638;;
;;;;;15717,;;0;A>D;A;ДС Малиновка-4 - АП5;1234567;86499;;54638,14951,14952,14982,14983,15585,15586,15643,15644,15645,15647,15648,71807,15214;;
;;;;;;;0;D>A;A;АП5 - ДС Малиновка-4;1234567;86501;;71803,15638,15639,15640,15641,15642,15577,15578,14980,14981,14949,14950,147112,54638;;
24;;;;7 АП;16466,;;;A>B;A;дс Зелёный Луг-6 - ул. Воронянского;67;151153;;15788,15787,15784,15782,14461,15978,15975,15979,133352,15018,15019,15748,15747,15736,15738,15777,15779,15566,15122,15774,15775,15918,15886,15887,15878,15879,15880;;d1-d5 - 01.04.2015<br>d6-d7 - 31.01.2015
;;;;;16526,;;;A>B;A;ДС Зелёный Луг-6 - Воронянского;12345;156604;;15788,15787,15784,15782,14461,15978,15975,15979,133352,15018,15019,15748,15747,15736,15738,15777,15779,15566,15122,15774,15775,15918,15886,15887,15878,15879,15880;;
;;;;;16466,;;;B>A;A;ул. Воронянского - дс Зелёный Луг-6;67;151152;;15880,15881,15883,15884,15885,15912,15920,15599,15600,15778,15776,58353,14516,14517,14518,14519,133353,133351,14790,15976,15977,14450,15781,15783,15785,15786,15788;;
;;;;;16526,;;;B>A;A;Воронянского - ДС Зелёный Луг-6;12345;156603;;15880,15881,15883,15884,15885,15912,15920,15599,15600,15778,15776,58353,14516,14517,14518,14519,133353,133351,14790,15976,15977,14450,15781,15783,15785,15786,15788;;
25;;;;;16475,;;;A>B;A;ДС Уручье -2 - Кульман;12345;151949;;14386,14404,14633,14629,14407,14410,14412,14413,14416,14631,14418,14420,14341,14343,14490,14492,15859,14768,15889,15735,15732,15730,15719,15718,15721;;d1-d5 - 09.02.2015
;;;;;;;;B>A;A;Кульман - ДС Уручье -2;12345;151946;;15721,14456,15731,15733,15734,15888,14756,14494,14495,14346,14342,14422,14421,14419,14417,14415,14414,14411,14409,14408,14406,14628,14405,14386;;
26;;;;4 АП;16242,;;;A>B;A;ДС Восточная - Будславская;1234567;132629;;15629,15630,15631,15632,15633,15634,68885,15741,15218,14961,14962,14963,14964,14965,14966,14967,14968,91040,91042,91044;;d1-d5 - 01.04.2015<br>d6-d7 - 21.06.2014
;;;;;;;;B>A;A;Будславская - ДС Восточная;1234567;132630;;91044,91043,91041,15001,15002,15003,15004,15005,15006,15007,15008,58359,15740,15738,15603,15604,15605,15606,15607,15629;;
27;;;;6 АП;16526,;;;A>B;A;ДС Ангарская-4 - Сосновый Бор;1234567;156614;;68909,15330,15331,15332,15334,15413,15414,15415,15416,15406,15417,14738,14739,15422,15423,15429,14340,14678,14500,14676,14650,14381,14383,14385,14404;;d1-d5 - 01.04.2015<br>d6-d7 - 04.04.2015
;;;;;;;;B>A;A;Сосновый Бор -  ДС Ангарская-4;12345;156613;;14404,14633,14629,14384,14382,14649,14651,14675,14488,14677,15418,15419,15420,15421,14774,14775,15363,15404,15405,15407,15408,15409,15410,15411,15303,15304,15833,68909;;
;;;;;16529,;;;B>A;A;Сосновый Бор - ДС Ангарская-4;67;157420;;14404,14633,14629,14384,14382,14649,14651,14675,14488,14677,15418,15419,15420,15421,14774,14775,15363,15404,15405,15407,15408,15409,15410,15411,15303,15304,15833,68909;;
27д;;;;;16526,;;;A>B;A;ДС Ангарская-4 - Запорожская пл.;12345;156621;;68909,15330,133033,133035,15413,133037,15406,15417,133039,14739,14774;;d1-d5 - 01.04.2015
;;;;;;;;B>A;A;Запорожская пл. - ДС Ангарская-4;12345;156620;;14774,14775,15404,15405,133038,15410,133036,133034,15833,68909;;
28;;;;5 АП;16446,;;;A>B;A;ДС Серова - Масюковщина;1234567;149255;;69176,15068,15069,15070,15052,15053,15056,15057,15058,15031,15032,15947,72680,72679,16230,14991,15857,69018,15594,15595,15635,15636,15637,71807,73042,15214,15215,15589,15588,14853,14593,15245,15246,15259,15260,15261,15228,58358,16234,133181,16235;;d1-d5 - 05.03.2015<br>d6-d7 - 11.01.2015
;;;;;;;;B>A;A;Масюковщина -  ДС Серова;1234567;149256;;16235,16233,133157,15240,15241,15242,15243,15244,14681,14852,15562,15587,14903,14905,71803,73043,15649,15650,15651,15570,15571,69269,14911,14912,16229,16231,71916,72681,15949,15950,15030,15047,15048,15049,15050,15051,15066,15067,69175,69176;;
