ID	City	Area	Street	Name	Info	Lng	Lat	Stops	StopNum	Pikas2012.11.19	osm:NodeID	osm:name:ru
15444	0	0	ул. Маяковского	Аранская		27.56735	53.88415	15552,191225	s15444		341282880	Аранская
15552	0	0		Аранская		27.56748	53.88515	15444,15905,54334	s15552		341283323	Аранская
15905	0	0	ул. Аранская	Аранская		27.56859	53.88593	15909,15552	s15905		342044855	Аранская
54334	0	0	0	Аранская		27.5653	53.88585	15552,15910	s54334		767090546	Аранская
14626	0	0	0	АС Автозаводская		27.6763	53.8592	133405,14711	s14626		320718993	АС Автозаводская
14830	0	0	0	АС Автозаводская		27.67697	53.85751	14711,15954	20п		320718968	АС Автозаводская
14711	0	0	0	АС Автозаводская~(высадка пассажиров)		27.67612	53.85802	14830,14626	20о		767183896	АС Автозаводская
15685	0	0		АС Юго-Западная		27.4994	53.87254	15694,16253	s15685		320719153	АС Юго-Западная
15694	0	0	0	АС Юго-западная		27.49914	53.8721	15685,132076,15199	s15694		320719155	АС Юго-западная
132076	0	0	0	АС Юго-Западная		27.50033	53.87186	15694	s132076			АС Юго-Западная
15093	0	0	0	Асаналиева		27.54459	53.84863	15096,15069,15095	s15093		767088322	Асаналиева
15096	0	0	0	Асаналиева		27.54277	53.8485	15093,15092	s15096		767088336	Асаналиева
197105	0	0	0	Атолино		27.42976	53.78764	197104	s197105			Атолино
14979	0	0	ул. Есенина	АТС		27.44387	53.85931	14985,14984	s14979		607266726	АТС
14985	0	0		АТС		27.44341	53.85833	14979,14978,14983	s14985		605711000	АТС
15250	0	0	ул. Матусевича	АТС		27.48324	53.91496	15254,15253	s15250		767088532	АТС
133378	0	0	0	Ауэзова		27.64388	53.83541	15505,15524,15773	s133378			Ауэзова
14723	0	0	0	Аэродромная		27.54965	53.87217	14808	s14723		767084989	Аэродромная
14808	0	0	0	Аэродромная		27.54991	53.87235	14723,15876,14807	s14808		767084981	Аэродромная
15876	0	0	0	Аэродромная		27.54879	53.87297	14808,14722,15875	s15876		2010580146	Аэродромная
14721	0	0		Аэропорт Минск-1		27.53707	53.87281	15871,69250	72			Аэропорт Минск-1
14810	0	0		Аэропорт Минск-1		27.5331	53.87287	15842,14811	72		767088384	Аэропорт Минск-1
15871	0	0	0	Аэропорт Минск-1		27.53739	53.87251	14721,14809	s15871		767084791	Аэропорт Минск-1
69250	0	0	0	Аэропорт Минск-1~(высадка пассажиров)		27.53585	53.87252	14721,15842	100		767084998	Аэропорт Минск-1
15842	0	0	0	Аэропорт Минск-1~(посадка пассажиров)		27.5352	53.87357	69250,14810,15840	72		767090543	Аэропорт Минск-1
15992	0	0		Бабушкина		27.58178	53.81805	16001,15990	s15992		767183526	Бабушкина
16001	0	0		Бабушкина		27.58241	53.8174	15992,15993	s16001		767183657	Бабушкина
15993	0	0		База Белсельстрой		27.58416	53.81426	15994,16001	s15993			База Белсельстрой
