from	to
д/с Одоевского	д/с Одоевского
д/с Семашко	д/с Семашко
д/с Серебрянка	д/с Серебрянка
д/с Серова	д/с Серова
д/с Сухарево	д/с Сухарево
д/с Уручье-4	д/с Уручье-4
д/с Чижовка	д/с Чижовка
д/с Чижовка (Высадка пасс.)	д/с Чижовка (Высадка пасс.)
д/с Чижовка-2	д/с Чижовка-2
д/с Чижовка-6	д/с Чижовка-6
д/с Шабаны	д/с Шабаны
д/с Шабаны (Высадка пасс.)	д/с Шабаны (Высадка пасс.)
д/с школа	д/с школа
д/с Юго-Запад	д/с Юго-Запад
д. Комсомольская	д. Комсомольская
Д. Низок	Д. Низок
д. Сунаи	д. Сунаи
Давыдовка	Давыдовка
Дамановщина	Дамановщина
Дамбровка	Дамбровка
дачи	дачи
Дачи	Дачи
дачи "Дитва"	дачи "Дитва"
Дачи-1	Дачи-1
Дачная	Дачная
Дачная улица	Дачная улица
Дачный посёлок	Дачный посёлок
Дачный проезд	Дачный проезд
Дворец	Дворец
дворец искусств	дворец искусств
дворец Культуры	дворец Культуры
дворец Культуры области	дворец Культуры области
дворец Легкой Атлетики	дворец Легкой Атлетики
дворец Лёгкой Атлетики	дворец Лёгкой Атлетики
дворец Спорта	дворец Спорта
Дворище	Дворище
Девятовка	Девятовка
Девятовка–4	Девятовка–4
Девятовка–5	Девятовка–5
Девятовка–7	Девятовка–7
Денисовская	Денисовская
дер.Глыбов	дер.Глыбов
дер.Глыбов (маг.)	дер.Глыбов (маг.)
дер.Милоград	дер.Милоград
Деревня "Кулаки"	Деревня "Кулаки"
деревня Ятвезь	деревня Ятвезь
дет. сад	дет. сад
Детсад	Детсад
детская больница	детская больница
Детская больница	Детская больница
детская поликлиника	детская поликлиника
Детский Городок	Детский Городок
Детский озд. лагерь "Лидер"	Детский озд. лагерь "Лидер"
Детский Онкологический Центр	Детский Онкологический Центр
Детский парк	Детский парк
Детский сад	Детский сад
Детский сад №22	Детский сад №22
Детский сад №4	Детский сад №4
Детский санаторий	Детский санаторий
Детский Центр	Детский Центр
Дещенка	Дещенка
Джураева	Джураева
Дзержинского	Дзержинского
Диагностический Центр	Диагностический Центр
Дипгородок	Дипгородок
ДК "Восточный"	ДК "Восточный"
ДК Гомсельмаша	ДК Гомсельмаша
Дмитриев Кирмаш	Дмитриев Кирмаш
Днепровский бульвар	Днепровский бульвар
Добрейка	Добрейка
Добровольщизна / Королино	Добровольщизна / Королино
Док	Док
ДОК	ДОК
Док-47	Док-47
Долгиновский тракт	Долгиновский тракт
Долгобродская улица	Долгобродская улица
Долгое	Долгое
Домбровка	Домбровка
Дом быта	Дом быта
Дом ветеранов	Дом ветеранов
Дом ветеранов ВОВ	Дом ветеранов ВОВ
Дом-интернат «Селюты»	Дом-интернат «Селюты»
Дом Кино	Дом Кино
Дом культуры	Дом культуры
Дом Культуры	Дом Культуры
Дом культуры железнодорожников	Дом культуры железнодорожников
Дом культуры Фестивальный	Дом культуры Фестивальный
Дом Мебели	Дом Мебели
Дом Милосердия	Дом Милосердия
Дом Муравьёвых	Дом Муравьёвых
Дом Науки и Техники	Дом Науки и Техники
Дом Обрядов	Дом Обрядов
Дом офицеров	Дом офицеров
Дом Офицеров	Дом Офицеров
Дом Печати	Дом Печати
Дом Пионеров	Дом Пионеров
Дом Правосудия	Дом Правосудия
Дом Ребёнка	Дом Ребёнка
Дом связи	Дом связи
Дом торговли	Дом торговли
Донского	Донского
Дорожник	Дорожник
Дорожно-строительный трест №6	Дорожно-строительный трест №6
Дофаренция	Дофаренция
ДП "Южный Городок"	ДП "Южный Городок"
Дп Мирошниченко	Дп Мирошниченко
Дптл	Дптл
Дражня	Дражня
Драматический театр	Драматический театр
Драмтеатр	Драмтеатр
Драмтеатр им. Якуба Коласа	Драмтеатр им. Якуба Коласа
Дричин	Дричин
ДРСУ 157	ДРСУ 157
ДРСУ-170	ДРСУ-170
ДРСУ-171	ДРСУ-171
ДРСУ N 194	ДРСУ N 194
Дружба	Дружба
Дружба кинотеатр	Дружба кинотеатр
Дружба Оздоровительный лагерь	Дружба Оздоровительный лагерь
Дружный	Дружный
Дрюково	Дрюково
ДС Восточная (высадка пассажиров)	ДС Восточная (высадка пассажиров)
ДС Восточная (посадка пассажиров)	ДС Восточная (посадка пассажиров)
Дсз	Дсз
ДСК	ДСК
ДС Каменная Горка-5	ДС Каменная Горка-5
ДС Славинского	ДС Славинского
ДС Славинского (высадка пассажиров)	ДС Славинского (высадка пассажиров)
ДСУ-17	ДСУ-17
ДСУ-18	ДСУ-18
Дубовляны	Дубовляны
Дубовцы	Дубовцы
Дубравинская	Дубравинская
Дубравы	Дубравы
Дуброва	Дуброва
Дубровенка	Дубровенка
Дубровка	Дубровка
Дубровляны	Дубровляны
Дуброво	Дуброво
Дукора	Дукора
Дуниловичи	Дуниловичи
Дымовщина	Дымовщина
ДЭУ	ДЭУ
ДЭУ 43	ДЭУ 43
ДЭУ-77	ДЭУ-77
ДЮСШ	ДЮСШ
Еваровщина	Еваровщина
Екельчика	Екельчика
Ельница	Ельница
Есенина	Есенина
Есенина, 111	Есенина, 111
Ефимово	Ефимово
ж/д вокзал	ж/д вокзал
Ж/д вокзал	Ж/д вокзал
ж/д магазин	ж/д магазин
ж/д переход	ж/д переход
ж/д ст. Колодищи	ж/д ст. Колодищи
Ж. Д. вокзал	Ж. Д. вокзал
Жасминовая	Жасминовая
ЖБИ	ЖБИ
ЖБИ Завод	ЖБИ Завод
Жгунь	Жгунь
Ждановичи ТЦ	Ждановичи ТЦ
ЖД Вокзал	ЖД Вокзал
ЖД Переезд	ЖД Переезд
ЖД Переулок	ЖД Переулок
ЖД переход	ЖД переход
ЖД Переход	ЖД Переход
Ж-д ст. «Минск-Южный»	Ж-д ст. «Минск-Южный»
Железнодорожная улица	Железнодорожная улица
Железнодорожный вокзал	Железнодорожный вокзал
Железнодорожный переезд	Железнодорожный переезд
Железнодорожный техникум	Железнодорожный техникум
Жемчужная	Жемчужная
Жиновича ул.	Жиновича ул.
Житин	Житин
Житковичи	Житковичи
Жлобинская	Жлобинская
Жмаки	Жмаки
Жмуровка	Жмуровка
Жмуровка маг.	Жмуровка маг.
Жудро ул.	Жудро ул.
Жукова	Жукова
Жукова просп.	Жукова просп.
Жуковка	Жуковка
Жуков Луг	Жуков Луг
Жуков Луг - 1	Жуков Луг - 1
Жуков Луг - 2	Жуков Луг - 2
Жуковского	Жуковского
Журавинка	Журавинка
Журжево	Журжево
ЖЭС №19	ЖЭС №19
ЖЭС №20	ЖЭС №20
З/д "Могилевтpансмаш"	З/д "Могилевтpансмаш"
З. Вировая	З. Вировая
Заболотье	Заболотье
Заборовье	Заборовье
Забрежье	Забрежье
Завод	Завод
Завод "Белкоммунмаш"	Завод "Белкоммунмаш"
завод "БелТАПАЗ"	завод "БелТАПАЗ"
Завод "Вторчермет"	Завод "Вторчермет"
Завод "Измеритель"	Завод "Измеритель"
Завод "Кристалл"	Завод "Кристалл"
Завод "Сантехзаготовок"	Завод "Сантехзаготовок"
Завод "Стpоммашина"	Завод "Стpоммашина"
Завод "Транзистор"	Завод "Транзистор"
Завод "Электроника"	Завод "Электроника"
Завод «ВиЗАС»	Завод «ВиЗАС»
Завод Зенит	Завод Зенит
Завод игристых вин	Завод игристых вин
Завод Игристых Вин	Завод Игристых Вин
Завод имени Кирова	Завод имени Кирова
Завод колёсных тягачей	Завод колёсных тягачей
Завод КПД	Завод КПД
Завод Красный Металлист	Завод Красный Металлист
Завод КСОМ	Завод КСОМ
Завод Литмаш	Завод Литмаш
Завод Медпрепаратов	Завод Медпрепаратов
Завод Могилёвлифтмаш	Завод Могилёвлифтмаш
Завод Модуль	Завод Модуль
Завод Молочных Продуктов	Завод Молочных Продуктов
Завод Оптик	Завод Оптик
Заводоуправление	Заводоуправление
Завод Порошковой Металлургии	Завод Порошковой Металлургии
Завод пусковых двигателей	Завод пусковых двигателей
Завод Самоходных Комбайнов	Завод Самоходных Комбайнов
Завод Синтетических Плёнок	Завод Синтетических Плёнок
Заводская улица	Заводская улица
Заводской	Заводской
Завод станочных узлов	Завод станочных узлов
Завод Тдиа	Завод Тдиа
Завод технологического оборудования	Завод технологического оборудования
Завод Техноприбор	Завод Техноприбор
Завод Утилизации Бытовых Ресурсов	Завод Утилизации Бытовых Ресурсов
Завод химических изделий	Завод химических изделий
Завод Эмис	Завод Эмис
Завязье	Завязье
Загородная	Загородная
Загорье	Загорье
Задвинье	Задвинье
Заднево	Заднево
Задорожье	Задорожье
Задрутье	Задрутье
Задруцкая Слобода	Задруцкая Слобода
Залесье	Залесье
Залуцкого	Залуцкого
Залучье	Залучье
Запад-2	Запад-2
Запад-3	Запад-3
Запад-3 д/с	Запад-3 д/с
Запад-3 микрорайон	Запад-3 микрорайон
Запад-4 микрорайон	Запад-4 микрорайон
Западное кладбище	Западное кладбище
Западный	Западный
Западный посёлок	Западный посёлок
Западный универсам	Западный универсам
Запасенье	Запасенье
Запорожская площадь	Запорожская площадь
Запорожская ул.	Запорожская ул.
Заречаны-2	Заречаны-2
Заречная	Заречная
Заречье	Заречье
Зарица	Зарица
Зарница	Зарница
Зарубичи	Зарубичи
Заславская ул.	Заславская ул.
Заслонова	Заслонова
Заспа	Заспа
Заспа маг.	Заспа маг.
