from	to
музей Валунов	музей Валунов
Мясникова	Мясникова
Налибокская	Налибокская
Налибокская улица	Налибокская улица
Наполеона Орды, 23	Наполеона Орды, 23
Наполеона Орды ул., 23	Наполеона Орды ул., 23
Народная улица	Народная улица
Нарочанская	Нарочанская
Натуралистов	Натуралистов
Национальная библиотека	Национальная библиотека
Национальный аэропорт Минск	Национальный аэропорт Минск
Независимости пл.	Независимости пл.
Независимости просп.	Независимости просп.
Некрасова	Некрасова
Некрашевича	Некрашевича
Нёманская улица	Нёманская улица
Нестерова	Нестерова
Новинки	Новинки
Нововиленская улица	Нововиленская улица
НПО "Гранат"	НПО "Гранат"
НПО "Центр"	НПО "Центр"
Обсерватория	Обсерватория
Одинцова	Одинцова
Озерище ж/д ст.	Озерище ж/д ст.
Олега Кошевого	Олега Кошевого
Олешева	Олешева
Олимпийский спорткомплекс	Олимпийский спорткомплекс
Ольшевского ул.	Ольшевского ул.
Оперный театр	Оперный театр
Опытное Поле	Опытное Поле
Орды Наполеона ул.	Орды Наполеона ул.
Орловская улица	Орловская улица
Острошицкая	Острошицкая
Охотская	Охотская
П. Бровки	П. Бровки
парк 50-летия Октября	парк 50-летия Октября
парк 50-ти Летия Октября	парк 50-ти Летия Октября
парк Горького	парк Горького
парк Дружбы Народов	парк Дружбы Народов
Парк Дружбы Народов	Парк Дружбы Народов
Парк Павлова	Парк Павлова
парк Уручье	парк Уручье
парк Челюскинцев ст.м.	парк Челюскинцев ст.м.
Парниковая	Парниковая
Парниково-Тепличный комбинат	Парниково-Тепличный комбинат
Парниково-Тепличный к-Т	Парниково-Тепличный к-Т
Партизанская ст.м.	Партизанская ст.м.
Педагогический колледж	Педагогический колледж
Педколледж	Педколледж
пер. Велосипедный	пер. Велосипедный
Первомайская	Первомайская
Первомайская улица	Первомайская улица
переулок Геологический	переулок Геологический
переулок Козлова	переулок Козлова
переулок Корженевского	переулок Корженевского
переулок Чижевских	переулок Чижевских
Переходная	Переходная
Петровщина	Петровщина
Пимена Панченко	Пимена Панченко
Пинская	Пинская
Пищекомбинат	Пищекомбинат
пл. Бангалор	пл. Бангалор
пл. Казинца	пл. Казинца
Платонова	Платонова
Плеханова	Плеханова
площадь Ванеева	площадь Ванеева
площадь Казинца	площадь Казинца
площадь Калинина	площадь Калинина
площадь Мясникова	площадь Мясникова
Площадь Мясникова	Площадь Мясникова
площадь Независимости	площадь Независимости
площадь Победы	площадь Победы
площадь Свободы	площадь Свободы
площадь Якуба Коласа	площадь Якуба Коласа
Победителей просп.	Победителей просп.
поворот на "Чижовку"	поворот на "Чижовку"
поворот на Городок	поворот на Городок
поворот на Колядичи	поворот на Колядичи
поворот на Малиновку	поворот на Малиновку
поворот на Минскрыбпром	поворот на Минскрыбпром
Поворот на филиал БГУ	Поворот на филиал БГУ
поворот на Шабаны	поворот на Шабаны
Пожарное депо	Пожарное депо
Полевая	Полевая
Полевая улица	Полевая улица
Полигон	Полигон
поликлиника	поликлиника
Поликлиника	Поликлиника
поликлиника, №16	поликлиника, №16
поликлиника №12	поликлиника №12
Поликлиника № 14	Поликлиника № 14
Поликлиника №18	Поликлиника №18
поликлиника №2	поликлиника №2
Поликлиника №2	Поликлиника №2
поликлиника №25	поликлиника №25
поликлиника №26	поликлиника №26
поликлиника №2 дет.	поликлиника №2 дет.
Поликлиника №36	Поликлиника №36
Попова ул.	Попова ул.
пос. Восточный	пос. Восточный
пос. Пионерский	пос. Пионерский
пос. Сокол	пос. Сокол
пос. Сосны	пос. Сосны
Поселок Дружба	Поселок Дружба
Посёлок Дружба	Посёлок Дружба
почта	почта
Почтовая улица	Почтовая улица
Притыцкого	Притыцкого
Продуктовый рынок	Продуктовый рынок
проезд Голодеда	проезд Голодеда
Промузел "Западный"	Промузел "Западный"
Промышленный переулок	Промышленный переулок
проспект Машерова	проспект Машерова
проспект Независимости	проспект Независимости
Профтехколледж	Профтехколледж
проходная	проходная
пр-т Дзержинского	пр-т Дзержинского
Прушинских	Прушинских
Прушинских, 62	Прушинских, 62
Пулихова	Пулихова
Путепровод	Путепровод
Пушкина просп.	Пушкина просп.
р. Люксембург	р. Люксембург
Радиальная	Радиальная
Радиаторный завод	Радиаторный завод
Радиаторный Завод	Радиаторный Завод
Радищева	Радищева
Радужная улица	Радужная улица
Рафиева	Рафиева
РБУ	РБУ
Республиканский Центр Тенниса	Республиканский Центр Тенниса
Ржавец	Ржавец
Рогачёвская улица	Рогачёвская улица
Роддом	Роддом
Романовская Слобода	Романовская Слобода
Романовская Слобода ул.	Романовская Слобода ул.
Руссиянова	Руссиянова
ручей	ручей
рынок	рынок
Рынок "Западный"	Рынок "Западный"
рынок Уручье-3	рынок Уручье-3
С. Ковалевской пер.	С. Ковалевской пер.
салон проката	салон проката
Свислочь	Свислочь
Севастопольский парк	Севастопольский парк
Северный посёлок	Северный посёлок
Седых	Седых
Селицкого	Селицкого
Селицкого, 105	Селицкого, 105
Селицкого 11	Селицкого 11
Семашко	Семашко
Семёнова	Семёнова
Семеняко	Семеняко
Сендайский сквер	Сендайский сквер
Сендайский Сквер	Сендайский Сквер
сервисный Центр	сервисный Центр
Сердича	Сердича
Сердича Д.	Сердича Д.
Сердича Д. ул.	Сердича Д. ул.
Серебрянка	Серебрянка
Серебрянка-3	Серебрянка-3
Серебрянка-6	Серебрянка-6
Серебрянка-9	Серебрянка-9
Серова	Серова
Силикатный переулок	Силикатный переулок
Силикатных Изделий к-Т	Силикатных Изделий к-Т
Сквер	Сквер
Славинского	Славинского
Славянская улица	Славянская улица
Слепянка	Слепянка
Слободская	Слободская
Слободская улица	Слободская улица
Слободской проезд	Слободской проезд
Слуцкой В. ул.	Слуцкой В. ул.
Смоленская	Смоленская
Смоленская улица	Смоленская улица
Сокол	Сокол
Соколянский переулок	Соколянский переулок
Солнечная	Солнечная
Соломенная улица	Соломенная улица
Солтыса	Солтыса
Сороковичи	Сороковичи
Соседи универсам	Соседи универсам
Сосновая	Сосновая
Сосновый	Сосновый
Сосновый Бор	Сосновый Бор
СП ООО Трайпл	СП ООО Трайпл
Спортивная ст.м.	Спортивная ст.м.
Спортивно-Стрелковый комплекс	Спортивно-Стрелковый комплекс
Спортшкола	Спортшкола
ст. Аэрации	ст. Аэрации
ст.м. "Восток"	ст.м. "Восток"
ст. М. "Восток"	ст. М. "Восток"
ст.м. "Партизанская"	ст.м. "Партизанская"
ст.м. "Петровщина"	ст.м. "Петровщина"
ст.м. Автозаводская	ст.м. Автозаводская
ст. М. Автозаводская	ст. М. Автозаводская
