from	to
Лутовское	Лутовское
Лучай	Лучай
Лучеса	Лучеса
Лыбель	Лыбель
Любанское	Любанское
Любань	Любань
Любашево	Любашево
Любленское озеро	Любленское озеро
Люктош	Люктош
Люсинец	Люсинец
Люхово	Люхово
Ляховичское водохранилище	Ляховичское водохранилище
Ляхово	Ляхово
Маевское	Маевское
Мажарова копанка / Mažarova kopanka	Мажарова копанка / Mažarova kopanka
Мазутка	Мазутка
Маковза	Маковза
Маковище	Маковище
Максимово	Максимово
Маланка	Маланка
Малая Бороница	Малая Бороница
Маленец	Маленец
Маленькая	Маленькая
Малое	Малое
Малое Святое	Малое Святое
Малое Уклейно	Малое Уклейно
Малое Язно	Малое Язно
Малуха	Малуха
Малы Больцык	Малы Больцык
Малые	Малые
Малые Окуничи	Малые Окуничи
Малые Плотки	Малые Плотки
Малые Сои	Малые Сои
Малые Швакшты	Малые Швакшты
Малый Беленок	Малый Беленок
Малый Супонец	Малый Супонец
Мальчик на шаре	Мальчик на шаре
Манец	Манец
Маргие	Маргие
Маринец	Маринец
Марцебылинское	Марцебылинское
Материнское	Материнское
Матеши	Матеши
Матырино	Матырино
Махово	Махово
Мачулище	Мачулище
Машонка	Машонка
Медведно	Медведно
Медведок	Медведок
Медзозол	Медзозол
Меднянское	Меднянское
Межно	Межно
Межужол	Межужол
Мелиоративный	Мелиоративный
Мелкое	Мелкое
Мередеж	Мередеж
МЕРЕЯ	МЕРЕЯ
Мёртвае	Мёртвае
Мертвое	Мертвое
Мещецкое	Мещецкое
Михайловской	Михайловской
Мличино	Мличино
Мнюта	Мнюта
Можейское	Можейское
Можнево	Можнево
Молочное	Молочное
Мосарское	Мосарское
Москалёво	Москалёво
Московица	Московица
Мостище	Мостище
Мостовуха	Мостовуха
Мох	Мох
Моховое	Моховое
Мошня	Мошня
Мужол	Мужол
Муйса	Муйса
Муйсата	Муйсата
Мульное	Мульное
Мурзик	Мурзик
Муроги	Муроги
Муромщина	Муромщина
Мушкат	Мушкат
Мхи	Мхи
Мылинское	Мылинское
Набережная	Набережная
Наговское	Наговское
Надозерское	Надозерское
